,iloc,distance
0,3,1.740206205396936
1,3,2.85289744306457
2,3,3.483775623101296
3,3,2.044089086448347
4,3,1.8030920938104982
5,3,1.7400607467689562
6,1,4.681678624238915
7,3,2.4976848068596373
8,3,1.2073160501561446
9,3,2.6927389611925183
10,3,2.611858223803906
11,3,1.7151416409036435
12,3,3.048503246983674
13,3,2.253990728498379
14,3,1.688530967397263
15,3,2.4423832704905557
16,2,1.4389520554018922
17,3,2.491914522284479
18,3,2.334259087961652
19,3,4.79168662423391
20,3,4.774237391830488
21,1,2.9289343833541106
22,3,2.8698235031071966
23,0,3.3371487057693012
24,3,2.569680852256904
25,3,2.5625849767899322
26,3,1.675564108408512
27,3,2.6758044653747053
28,0,2.9064685408111828
29,3,1.4261204920598944
30,0,3.95381473725761
31,3,2.7249040966752958
32,3,2.5667894369663684
33,3,3.427756814583377
34,3,7.059359148635725
35,3,1.7834314313299156
36,0,3.2227712732386187
37,3,2.8899046502380594
38,3,3.0297521646755183
39,0,5.544298468123017
40,3,2.2930778563027725
41,3,2.2020781349527985
42,3,1.66139411235014
43,3,1.8538580229850354
44,3,2.9396949949038964
45,3,0.9823877076672887
46,2,1.333846980622954
47,3,2.731816021623699
48,1,4.3902089704007805
49,3,1.3288915979945728
50,0,4.971608666622475
51,3,2.528103459591145
52,3,1.8195965676587353
53,2,3.07358175344073
54,3,2.0605515766915086
55,3,1.5279364969481064
56,3,2.0618103095945695
57,1,2.2396425026584894
58,3,2.056130997394759
59,3,1.8846755264313293
60,3,1.6917490563770248
61,3,1.6907059737589043
62,3,3.2270075174992963
63,3,4.036728187404696
64,3,3.394354071554284
65,3,1.3653262143121836
66,2,1.1037894679162994
67,3,2.3757879762180067
68,3,2.073686120271379
69,3,1.6839867535837603
70,3,2.5771530425222187
71,0,9.09061602274205
72,2,1.987854130448174
73,3,2.301913377731489
74,3,1.4998141212206302
75,3,2.1818412435639565
76,3,3.756808194056982
77,3,1.8065307228288359
78,3,3.1336772567683284
79,3,3.270194321624667
80,3,1.471681662383369
81,3,3.6237019053566044
82,3,2.9201640671533133
83,3,4.774938224229215
84,1,2.380489113979889
85,1,5.545046792178823
86,0,2.998608320329988
87,0,3.2936946754968224
88,3,1.580834365378083
89,3,3.3246602830200653
90,1,4.647216266129236
91,0,3.301146925900189
92,3,1.6221865552618704
93,3,1.4917874350917453
94,3,1.4475231495800889
95,3,1.9203712592289692
96,3,2.2514387886125307
97,3,2.6523518236575288
98,3,5.116863530233147
99,2,3.4966928223751608
100,2,1.2993075202176974
101,3,3.905189980401474
102,1,2.475955665193066
103,3,4.452430165208568
104,3,1.7214070973706992
105,3,1.7818349794232047
106,3,2.590703693939326
107,0,4.476748671712941
108,3,1.2161237714615947
109,0,3.7633438677866193
110,3,2.354759360593187
111,3,1.709674044247323
112,1,3.2678128280786227
113,3,2.9302814334521177
114,3,4.593441596023964
115,3,2.925569331704951
116,3,2.736558857664232
117,3,2.280331195643278
118,3,5.340489721955105
119,3,2.042123004066489
120,1,3.684465974238571
121,3,1.778787212463431
122,1,4.610427283900099
123,3,1.7031295931609214
124,0,4.683784104188656
125,1,8.662203953115151
126,2,0.8773627937361994
127,3,1.8858456907493615
128,0,3.3516780722251065
129,3,4.523429311576111
130,3,3.101200629948212
131,3,2.414281817629469
132,3,1.7766898514911644
133,0,3.091436559817324
134,3,2.3142595538313553
135,3,1.2464155866221773
136,1,3.3022736353903466
137,3,2.472717607542163
138,4,0.0
139,3,3.396453200522239
140,3,1.4260480160267361
141,3,1.8555990231592483
142,3,3.193121613890377
143,1,4.669118654888057
144,1,2.18333672203599
145,3,1.7471751570357923
146,3,2.3280855571457604
147,3,1.8630899722171628
148,3,1.218662293575922
